year,logloss,n
2009,0.5365245526811195,5329
2010,0.5202098222013702,5386
2011,0.5248947728095568,5380
2012,0.5151764838854113,5398
2013,0.5308178073664445,5461
2014,0.5321252975265385,5503
2015,0.5360745554944152,5499
2016,0.5327399780836485,5516
2017,0.5358456136380063,5535
2018,0.5372587605353537,5540
2019,0.5403420172148008,5603
2020,0.5446213381896002,5328
2021,0.5628406330847984,3944
