l,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,0.556175004230442,0.5365245526811195,0.5202098222013702,0.5248947728095568,0.5151764838854113,0.5308178073664445,0.5321252975265385,0.5360745554944152,0.5327399780836485,0.5358456136380063,0.5372587605353537,0.5403420172148008,0.5446213381896002,0.5628406330847984
0.01,0.5559910710225653,0.5364234593824528,0.5200618942298938,0.5247867502177433,0.5150683813704146,0.5307226615938611,0.5320494850803104,0.5359674322083707,0.5326839948423453,0.5357318479308241,0.537140692742101,0.540327666977658,0.5445015456538335,0.5627145781260344
0.05,0.5554380179873075,0.5360610051482781,0.5197766806242128,0.5244274513994717,0.5146856411103834,0.5304278957631765,0.5318605477829672,0.5356865302172911,0.5323615755391746,0.5353419019835503,0.5367575000127675,0.5401378739261874,0.5441995506024188,0.5625312508962289
0.1,0.5548902017228005,0.5356467459682328,0.5195304768781347,0.5240483666286159,0.514328602172917,0.5301304452825432,0.5317279935573903,0.5355271294893005,0.5319728520216239,0.5350706482081314,0.5364303000038559,0.540141285752946,0.5439089347323081,0.562111412034202
0.15,0.5543646392387154,0.5353894918332491,0.5193125149304041,0.5238019064721561,0.5139927327266659,0.5299169523402394,0.5317218488589639,0.5355310518714991,0.5317867211585073,0.5347328410218742,0.5359866304212587,0.5401999646499668,0.5437690937294245,0.56197652616717
0.2,0.5540314865729107,0.5351723676906096,0.5191668342405493,0.5237124558401254,0.5138669161735105,0.5298797891773186,0.5318786252627404,0.5355935895439736,0.5315993525969581,0.53462958112388,0.5359208053838944,0.540397043132451,0.5436756109094818,0.5620374721875766
0.25,0.5537228934101864,0.5349833886551719,0.5191687852191916,0.523685124431818,0.5138828714874758,0.5298504849078317,0.532137942472911,0.5357373476271201,0.5315436270757395,0.5344402149643688,0.5358987458513416,0.5404943372146038,0.543929666274464,0.561989724320774
0.3,0.5534671101970314,0.5350717727333315,0.519275766933917,0.5237572433430681,0.5138884978233847,0.5299253548426702,0.5324791653590494,0.5359114630224593,0.5316629721148326,0.5345545393495937,0.5359446694381558,0.5407128531586851,0.5440329874337835,0.5621074476123997
